Wed Sep  9 23:10:23 2026    /home/builder/nav-coordinate-a44a930-native-01/root-scheduler-profile-01/legacy.prof

         198078546 function calls (198069215 primitive calls) in 67.714 seconds

   Ordered by: cumulative time
   List reduced from 1425 to 35 due to restriction <35>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     90/1    0.000    0.000   67.715   67.715 {built-in method builtins.exec}
        1    0.000    0.000   67.715   67.715 <frozen runpy>:201(run_module)
        1    0.000    0.000   67.710   67.710 <frozen runpy>:65(_run_code)
        1    0.000    0.000   67.710   67.710 __main__.py:1(<module>)
        1    0.000    0.000   67.710   67.710 main.py:67(__init__)
        1    0.000    0.000   67.676   67.676 main.py:255(runTests)
        1    0.000    0.000   67.676   67.676 runner.py:224(run)
      2/1    0.000    0.000   67.676   67.676 suite.py:83(__call__)
      2/1    0.000    0.000   67.676   67.676 suite.py:102(run)
        1    0.000    0.000   67.676   67.676 case.py:689(__call__)
        1    0.000    0.000   67.676   67.676 case.py:599(run)
        1    0.000    0.000   67.675   67.675 case.py:588(_callTestMethod)
        1    0.000    0.000   67.675   67.675 test_sharded.py:74(test_full_generated_protocol)
        4    0.002    0.001   67.662   16.916 sharded.py:357(run_phase)
        4    0.019    0.005   67.659   16.915 sharded.py:369(_run_phase)
     1661    0.156    0.000   66.960    0.040 sharded.py:438(bind)
     4730    3.389    0.001   63.282    0.013 sharded.py:263(bind_entries)
  2849698    2.552    0.000   48.851    0.000 frozen_support.py:39(admit)
  2849829    0.538    0.000   28.231    0.000 pathlib.py:844(lstat)
  2855662    0.529    0.000   27.732    0.000 pathlib.py:837(stat)
  2856110    3.349    0.000   27.204    0.000 {built-in method posix.stat}
  5741454    1.286    0.000   24.918    0.000 pathlib.py:447(__fspath__)
  5743189    2.746    0.000   23.647    0.000 pathlib.py:437(__str__)
  2888082    1.278    0.000   19.417    0.000 pathlib.py:551(drive)
  2888854    2.059    0.000   18.146    0.000 pathlib.py:407(_load_parts)
  2877166    3.735    0.000   18.041    0.000 frozen_support.py:30(sha)
  2888855    5.812    0.000   10.909    0.000 pathlib.py:387(_parse_path)
  2981249    0.597    0.000    9.152    0.000 pathlib.py:719(__truediv__)
  2981249    0.919    0.000    8.555    0.000 pathlib.py:711(joinpath)
  2984493    1.371    0.000    7.643    0.000 pathlib.py:380(with_segments)
  2885758    5.402    0.000    6.468    0.000 {built-in method _io.open}
  2994238    1.030    0.000    5.437    0.000 pathlib.py:1159(__init__)
  2881721    2.818    0.000    4.774    0.000 <frozen posixpath>:71(join)
  2994238    2.808    0.000    4.407    0.000 pathlib.py:357(__init__)
  5069090    0.981    0.000    4.114    0.000 frozen_support.py:33(<lambda>)


