family_id	requested_bytes	live_count
bd4c43e256c8cea50aaf6ab0d6f2eff8787801fb5ae6f698d68730b97704844e	65142784	1
f5ce67bf6fb7a767979b6754873b100c2501c495ea5f094f69a25f3a62bc1c31	13932080	4
a7f7ef1d33c50f587dbba5e68d5c9d91edbbe1a9d61ab71aa1e83f3fd5478cd7	8509424	2
b6c55a3d7a517b2b5398e5113d88b8311dc7ad29bc217791c818cbc25f08b091	6139800	19270
1d4d06a18443dd793bba7d2c0c6e7168efc4e08b84087c95d11dd110f7c6860c	5046594	4556
b70f790e60940b14d2fbb8e58a45f487d7dacfab979c0e874298c753236661fb	4057669	219
d42220e4c0b5ee2edd6134684e754a90a249deb1d4327384f8fabb9d9b120c79	3939383	31384
b06b85e547c70b4344e0b354fe65d7eebaedabe024a0dca4fa281c7168e9c6f4	3538928	39724
ddad8a7d3b08ca7ba4c54e256931b5d9d220d7d30fa9bc12193d873f7fd86ed4	1974204	2981
5b7db08924c7399ebf1b154a12e33e4688c0a7a3f76ec9c3b0d8df1c5a65728a	1933184	10984
2c6aa653e79cc9117fc5d7e24d1c3ff9484ba5db7554c56aa16de338349e6631	1927976	17191
4ea813d670f5aafb3c118a6c5210807a5ee6c6616502a8e28d197c65e44b6bf3	1394000	2050
f4dffd87ec76a3bb0853c541bd1fc9d84f13eaa9b938a6b1f855cd24cdfc91ab	1208216	9798
7957ba94513fe282f043b349bcec95f85c9a6c642ad8f4aff992d139de945b33	1071612	2012
ba8adbc6ccaa5b4095323dce95ba2b8eb02d6d7b3ddaaa4f8d062589abdc9541	1066920	2000
b91decdc48293ec13828af87116afff9f131fcd08317248dea2d85a8393f15b5	901000	32
0ae627823fd8d8ab878efe3edc45e0f25676f6cb216435a2e4a2b314a5b3ae00	764592	424
121961b5fac83903704be8f12a7b7d12cfb9a2b8895e04078ad873fe052aeb69	697000	1025
b6ca1b5579046ec83123d1d03e72952868e031b8379b7f485e161df1866380f0	630360	5253
ce9ce269314ca080913882e1ada1c1ba3bfbb6e6f84b51579753866343d49a52	524800	2
7fb98bd704d8026ed86a139b649086964d42a16da1a13ebf89abaa37fc2b79bc	477266	110
893d2666be7a293543e56ad759a1ec97bee5e92ddaa594ec801194e79a23c1b1	460800	2
1b4c7cb9a85aaaf2eaea3cf5d2f250f1a79bf25f0430697207f2d3290e5c6b67	423184	3566
f870549f971c3bcb0266c54168876e3b941e296b68ef3968f60776e671e57a5e	410400	4178
122f4b86b35bb72bae9022c349c9a6be51d4e87aad6cc6e2d1176ac7325f0686	400384	2176
1d61dbef9f7a9717bb2cb7251a8477f81c58459792cb31a123dfd15b317327f4	364588	4296
30437fcfaa5c630b8e9b1f52ef2a51c22c3ed35446054ca94bdb8f5d5bebaea5	342624	3
38f6ae1a25b34f9f32fc78094fb187b3fd936397db4f1f6b7861e0db030d6c8e	326340	742
e1c671612c0560bd70e033f19af2b1e23793222a59404dbf9cf3905c389e1145	304336	25
944c3b7c09168d59a958d66a92ea4be3ba5c32295aebaae4404beaa3ed3b64cb	286992	7
4483c7318268ca517535c5ba2733f05497d864758818a4e6acc4d160cee79d2a	262144	1
e6527c6c96efd30f776181ab2bfe350b313346e10cddc8f6393d4b138840be87	257776	15490
dde4336a3153a334365d4918fd7accad1235ebfbc4725122e3ed8a9cde48f6f7	243390	8858
99231c7e87e442cff4956f1aee0ac47defd0492438d314316af1a96c650376e7	186912	1
2aa2be2e9dda878a21acf4aaa148c47f1315195c11159943cc8c65e9dd41a334	162520	239
b028655f5f8019c91b7878be115200b019c754a939495b35194ea713f259ac50	159552	36
59e41b6a52cd92d26a5d2f734a1959eb311d0f4c455cf8ebe8b9c7388e451368	147456	1025
9d29636f7d39d7f185860d091450182b9f59608ba60184898388b47822e3681f	141440	208
b133599c921dfc8f66cf48bf445437ca051430ba46e6bf47020d7bf91419a869	131488	2
42fd7979472595bd542957fa78924499b6cc99d53299d790aa2cf18686188968	129792	3
7cddee6a1e1c514177986443a51a2245cbbb49afe1a83cb69d99906973cacdef	127743	32
bb02fc1e15d371276f4c8a3c670fcd87f309a8e0aa58425a874710eb9579e5ba	90864	1704
759555167e34a9a9d61431b5cf20a39a8350e01efc037331475e874b577520c2	87912	2
53235dbf919a2e4a96f4c9958342109c2a3db8faaf542c7f9f2d4dbd491e0a52	83984	1
35c9fc1afa0cb835d15a2ed0694b5d8770a0e152eb0cba4d4520c53bdeaed60d	83532	1267
09afbcf0043a064ece9541f480ab543dca5bab9d363a9fc2b3f7d3714e9b90eb	79296	264
026de9af00608c3d6771cdace6f08bfd4120bad5d127b30400674af76cd7ca51	78912	2475
e220fe1122bad46f986f3f0939ad9b5fc1c70517b4ace797aab6dfc17031bb2a	73728	1
f055845ab0dca12be07ed64aab7569dcdcec6465716f694e22bbe6b5e9d25652	70392	1
6a36977ed237be23b5c72646586416b857d6e764b1e64b2b679be67623263e51	66623	3
e4f7606d320ae723a8429e34a0d341babcf1683b3e7ae8a8b3d2056b6930177a	57352	583
30a3976e1ce582d122c89d7ce0c85b5511a4b1a8efa19f60de0033fef33df90c	53517	5118
12c33b8423f0d4c442e01ed337d7405255ff85dd3180917a2d1baf18f5954844	49336	5
468f43e36da24d2cfafd965d3dd3a3a27ee6838f71a45900701659a58c0decb0	46200	105
94ddfe7fcc51be79e10691fb8054880c96260d1d3f5094134f02dc37358cb555	44376	246
2a5d7fc670c2aea7653bdb1418ea460f0763f046b0ed686f23c3b62fb8ced5d4	40400	1
21c9fcc844ff712852497a991ea3f9b0a9b96fee79a444f7fcb3a4c6be42d7f2	40032	316
0155253774a724226f43fdfb929e4207ff0f24f806dfc37c5f9c995bb07190d4	32768	1
c152eda13e2cfa92fe634a3193fd83d21ce388d5f3f27f6d5ef559dfcff0f493	31408	1
415dd4b3c72a86e81696931b9c819903aed6401b54791701b9d3b23c77d15a50	29340	90
2490d5fc35fee5eed8c794ab2ecb883b1f78074542e897e0be5410c635dce2f3	26880	700
f65b0dcb8f471028f70856a1800f7c05f9c37a5f360b9855fe07103e88e98e2c	25324	5
cb26da3ddaad3b179c24421d09991e2f6f6826fc8ea60739249c7abf84473f2e	23552	65
1bce5e0c03b5ad8f5278a3c0a9ef1db3b460f6b5d9ce25785bfba5fe24bb1b6e	22474	1719
d1dff27db77e8fa5eccf396759aa4b5622c18ce07038973d2ba1fb3a13452ae9	22400	83
51352243c3ef419b0629c113a9642e92acfb897c76cf3821219207148c5fdcd8	21672	1
65a2a8416e34e81374d9d652243bb2daca85a222bfdd65ec5abfc83f91f4853c	21632	17
09d69e0507f94583b57cf6d925bea537e480b526580fc4d762c3cd2c9e1d3353	17616	3
5b6fae662b69e086384539388fe1c7d6d7a0ee6e849b27e11841985cc4d64743	17244	1
e9e36b6fee08c8530f043c28b923c05aa6f54b86c2ea984b5305060cc3bdbbdd	16480	2
648a086a32bed56e5591707fc20b6ade74a2e407a393f34219628ea9e78e57f9	16384	2
