descriptor_id	trace_id	size	live_count	allocation_calls	requested_bytes
4515	3862	73438581	1	1	73438581
4516	3865	65142784	1	1	65142784
4517	3867	8142848	1	1	8142848
4118	3763	536	10984	10984	5887424
3718	3433	1962576	1	1	1962576
4481	3834	176	10984	10984	1933184
3984	3589	1158408	1	1	1158408
4518	3869	366576	1	1	366576
3905	3524	315288	1	1	315288
4483	3838	186912	1	1	186912
3512	3362	185368	1	1	185368
3985	3593	96	1588	1588	152448
3910	3532	96	1183	1241	113568
4172	3769	102912	1	1	102912
4173	3770	102912	1	1	102912
4548	3888	83984	1	1	83984
3749	3467	66	1265	1265	83490
4121	3768	16	4864	4864	77824
0	4	73728	1	1	73728
3722	3437	64	824	875	52736
3993	3604	64	818	853	52352
3991	3604	32	1412	2265	45184
4547	3888	42000	1	1	42000
3721	3437	32	1193	2069	38176
4167	3773	24	1417	1417	34008
4539	3891	32	896	896	28672
3724	3441	16	1752	2097	28032
3909	3528	64	418	444	26752
3908	3528	32	746	1192	23872
3682	3389	21672	1	1	21672
3353	3194	19681	1	1	19681
3992	3605	16	1187	1319	18992
3354	3196	17293	1	1	17293
4153	3788	480	36	36	17280
4523	3877	464	30	30	13920
3911	3535	8	1572	1762	12576
3725	3444	8	1570	1589	12560
3988	3600	8	1540	2859	12320
3986	3596	8	1508	1998	12064
4168	3774	12	997	997	11964
4164	3783	32	362	522	11584
3944	3545	192	58	58	11136
3726	3441	32	345	345	11040
3987	3597	4	2732	2732	10928
4537	3885	10752	1	1	10752
3930	3544	16	630	720	10080
4207	3818	16	619	789	9904
4195	3783	64	148	160	9472
4145	3783	16	563	1085	9008
4054	3660	8528	1	1	8528
4141	3782	8	1044	2129	8352
3525	3363	32	231	231	7392
3526	3364	32	231	231	7392
3527	3365	32	231	231	7392
4222	3774	16	456	456	7296
4170	3812	16	451	451	7216
4271	3774	52	134	134	6968
4278	3774	76	88	88	6688
4038	3633	6592	1	1	6592
3926	3541	32	205	205	6560
3736	3437	128	51	51	6528
3915	3541	28	231	231	6468
3601	3363	424	15	15	6360
3602	3364	424	15	15	6360
3603	3365	424	15	15	6360
3990	3604	16	347	2612	5552
3999	3610	16	340	340	5440
4004	3608	4	1357	1357	5428
4005	3609	4	1357	1357	5428
4497	3840	15	359	359	5385
4165	3771	4	1326	1326	5304
4166	3772	4	1326	1326	5304
4487	3840	17	307	307	5219
3914	3540	8	638	1358	5104
3537	3363	48	106	106	5088
3538	3364	48	106	106	5088
3539	3365	48	106	106	5088
4489	3840	11	458	458	5038
4494	3840	16	313	313	5008
3588	3366	56	88	88	4928
4484	3840	13	376	376	4888
3927	3541	36	128	128	4608
3996	3608	20	230	230	4600
3997	3609	20	230	230	4600
4208	3818	32	142	170	4544
4020	3604	128	35	35	4480
4491	3840	14	315	315	4410
3546	3363	36	121	121	4356
3547	3364	36	121	121	4356
3548	3365	36	121	121	4356
4277	3773	96	45	45	4320
3998	3605	32	131	132	4192
3723	3440	8	521	2618	4168
3585	3363	256	16	16	4096
3586	3364	256	16	16	4096
3587	3365	256	16	16	4096
4490	3840	12	313	313	3756
3363	3208	3696	1	1	3696
4488	3840	18	173	173	3114
3598	3363	296	10	10	2960
3599	3364	296	10	10	2960
3600	3365	296	10	10	2960
3932	3544	32	90	90	2880
4151	3786	80	36	36	2880
4152	3787	80	36	36	2880
3576	3363	68	42	42	2856
3577	3364	68	42	42	2856
3578	3365	68	42	42	2856
4068	3684	2840	1	1	2840
3604	3363	352	8	8	2816
3605	3364	352	8	8	2816
3606	3365	352	8	8	2816
3942	3528	128	22	22	2816
281	576	2776	1	1	2776
3579	3363	160	17	17	2720
3580	3364	160	17	17	2720
3581	3365	160	17	17	2720
4486	3840	10	262	262	2620
3534	3363	40	65	65	2600
3535	3364	40	65	65	2600
3536	3365	40	65	65	2600
3907	3528	16	161	1357	2576
3933	3541	40	64	64	2560
3923	3542	8	309	309	2472
3573	3363	84	28	28	2352
3574	3364	84	28	28	2352
3575	3365	84	28	28	2352
3516	3363	44	51	51	2244
3517	3364	44	51	51	2244
3518	3365	44	51	51	2244
3920	3541	24	91	91	2184
3994	3606	4	536	536	2144
3995	3607	4	536	536	2144
3924	3536	12	171	171	2052
3925	3537	12	171	171	2052
3570	3363	60	34	34	2040
3571	3364	60	34	34	2040
3572	3365	60	34	34	2040
3783	3465	17	118	118	2006
3720	3437	16	122	2192	1952
3779	3465	15	130	130	1950
4261	3818	64	28	28	1792
3531	3363	64	27	27	1728
3532	3364	64	27	27	1728
3533	3365	64	27	27	1728
4197	3752	32	53	53	1696
4198	3753	32	53	53	1696
4199	3754	32	53	53	1696
3755	3465	14	121	121	1694
3727	3445	2	845	845	1690
3728	3446	2	845	845	1690
3543	3363	52	32	32	1664
3544	3364	52	32	32	1664
3545	3365	52	32	32	1664
3758	3465	16	104	104	1664
4231	3752	552	3	3	1656
4232	3753	552	3	3	1656
4233	3754	552	3	3	1656
4500	3840	19	86	86	1634
3549	3363	24	67	67	1608
3550	3364	24	67	67	1608
3551	3365	24	67	67	1608
4219	3752	400	4	4	1600
4220	3753	400	4	4	1600
4221	3754	400	4	4	1600
4252	3752	1600	1	1	1600
4253	3753	1600	1	1	1600
4254	3754	1600	1	1	1600
3921	3536	10	159	159	1590
3922	3537	10	159	159	1590
4000	3606	2	794	794	1588
4001	3607	2	794	794	1588
3552	3363	28	56	56	1568
3553	3364	28	56	56	1568
3554	3365	28	56	56	1568
3928	3536	8	196	196	1568
3929	3537	8	196	196	1568
3916	3542	4	379	379	1516
4002	3608	8	184	184	1472
4003	3609	8	184	184	1472
