family_id	requested_bytes	live_count
bb0fa3bf187a4315b9b3035e5b4f705851fdbf523b3e98364ddc3b9280791a97	73438581	1
bd4c43e256c8cea50aaf6ab0d6f2eff8787801fb5ae6f698d68730b97704844e	65142784	1
a7f7ef1d33c50f587dbba5e68d5c9d91edbbe1a9d61ab71aa1e83f3fd5478cd7	8509424	2
b6c55a3d7a517b2b5398e5113d88b8311dc7ad29bc217791c818cbc25f08b091	6139800	19270
ddad8a7d3b08ca7ba4c54e256931b5d9d220d7d30fa9bc12193d873f7fd86ed4	1974204	2981
5b7db08924c7399ebf1b154a12e33e4688c0a7a3f76ec9c3b0d8df1c5a65728a	1933184	10984
f4dffd87ec76a3bb0853c541bd1fc9d84f13eaa9b938a6b1f855cd24cdfc91ab	1208216	9798
d42220e4c0b5ee2edd6134684e754a90a249deb1d4327384f8fabb9d9b120c79	1065928	30738
f870549f971c3bcb0266c54168876e3b941e296b68ef3968f60776e671e57a5e	410400	4178
1d61dbef9f7a9717bb2cb7251a8477f81c58459792cb31a123dfd15b317327f4	364588	4296
99231c7e87e442cff4956f1aee0ac47defd0492438d314316af1a96c650376e7	186912	1
53235dbf919a2e4a96f4c9958342109c2a3db8faaf542c7f9f2d4dbd491e0a52	125984	2
e6527c6c96efd30f776181ab2bfe350b313346e10cddc8f6393d4b138840be87	101627	5251
35c9fc1afa0cb835d15a2ed0694b5d8770a0e152eb0cba4d4520c53bdeaed60d	83500	1266
e220fe1122bad46f986f3f0939ad9b5fc1c70517b4ace797aab6dfc17031bb2a	73728	1
51352243c3ef419b0629c113a9642e92acfb897c76cf3821219207148c5fdcd8	21672	1
31aff74db2a43b7a3971bfad1f70185af06b2345a2ad85703568a213207400bf	13924	31
41ea9e5a1ce7cd740a10b2a74b449f6d8a1242496c66b807fe0c1d16c55f6f4b	10752	1
5663a90e5ad0f920cc3ce3a753441f8ac3826da4d66c827db4510731cb58435e	8876	83
77be961186e8c758162cbe177fecb1797f0f5a45bff59be0103d2abf25eb47ff	6592	1
096d438c37c9977fb6448fdba38a462e10644befdb233603dda487b12b40abdb	3864	5
372ae53a11f2bdf70733d50514e75dbe17f17b594b5e03286eabb2f26e62f36c	3696	1
714096c6affa162b7d3d534d211c6ec56d7d26ac8c89c0abdf71e05d7eb9cf3c	3256	8
72cad0026120c50af7d386321b6ee737585055b163be5bd0db7aef205508c22c	2840	1
2bc56048b24176b1607f5a9248d31e911dbadb2c4ef1929d038361c9598f3289	1436	1
b4b209c65185ca8c9d2323f054be7a1f73d613d47ed9a29a5ddb002550fc368e	1280	144
6abb066cf89663373768d54528edf59c7d2089ee2c4a0637ae919947ff155460	1248	1
268f7bdf5b2adcdad40216436e81d1d98b856a0cac65cbcb37464faf2346fa85	972	2
65ac0e2f2001d1807c5cbd6088ce6f20218842c33aaf16179785d0273d4f9682	904	11
baefb88c68da06e8c362bd8929c568e0523f83fa54eb3f6aec121155b0dd6c98	640	32
549d2828f4bd60b6f928e9649aeef9539a53e8115de8c250dc64ff495cff50ca	548	2
a1e3283a7532242597e47eba3280f608ee0f4030bdae532505ee27aa8e8af194	408	3
448d57f07b8d24653caaa7fcfbd057cbd5e5c181204020de3dc6065f866082f2	288	6
abff6880d426cbe59e117f65b0d3b12993eab626d9dae0e9bbdeed77b94a67d8	180	3
96017cb921d87cd5c0ab08e89669fcc08b50f6d93e7eb9213e59f88be19918cb	160	1
52a4a0ca1b14b209ff494dddc71f2cdc286878eccc2e32133f42f0b6e0b9aad0	99	1
504b0641dc0dbb4133d68931a787fd8d2d08a11e516abbbff1e2708d60c6d79b	96	1
6a36977ed237be23b5c72646586416b857d6e764b1e64b2b679be67623263e51	63	1
72a1618b84e7906669afd846e812b5c566431a338b5eb393f621fc765cbd2142	35	1
fc2da8fba9e079d471b644a9b1c677eca407d7961f4c0267bb332715e144686d	32	1
c804bce6353a5d3ed5faf59b363a0aaf45beb4b4a1951da37ca86d6a87a16a0e	28	3
a92e83b7ec14ad03914f87b070dcbfb7304002d609f0051a5789758fad54d96c	24	1
6aba15e778ac0d218533472f0ad16f18584049c46fb2edce793d5d49d7ad3c91	10	1
aa2e25fb273e51bd33deabaef4aa80e2d4ab109bc4874dba03c5b7a41d844811	9	1
e2ee98d8e68c51813bdd0b04b93112bb9034d0dfdeb354e00f9c04980120d117	9	1
e0a1f669a6a35b4ebb54abaf67ecd4b3f3da3025a2f80473708d9061f1566cf2	7	1
b51e6746bd4ca6b62ff257da30b21741a7fcd117fbb9f3cd97329e437077d4b4	3	1
