trace_id	family_id	requested_bytes	live_count	allocation_calls_full_trace
3862	bb0fa3bf187a4315b9b3035e5b4f705851fdbf523b3e98364ddc3b9280791a97	73438581	1	1
3865	bd4c43e256c8cea50aaf6ab0d6f2eff8787801fb5ae6f698d68730b97704844e	65142784	1	1
3867	a7f7ef1d33c50f587dbba5e68d5c9d91edbbe1a9d61ab71aa1e83f3fd5478cd7	8142848	1	1
3763	b6c55a3d7a517b2b5398e5113d88b8311dc7ad29bc217791c818cbc25f08b091	5887424	10984	10984
3433	ddad8a7d3b08ca7ba4c54e256931b5d9d220d7d30fa9bc12193d873f7fd86ed4	1962576	1	1
3834	5b7db08924c7399ebf1b154a12e33e4688c0a7a3f76ec9c3b0d8df1c5a65728a	1933184	10984	10984
3589	f4dffd87ec76a3bb0853c541bd1fc9d84f13eaa9b938a6b1f855cd24cdfc91ab	1158408	1	1
3869	a7f7ef1d33c50f587dbba5e68d5c9d91edbbe1a9d61ab71aa1e83f3fd5478cd7	366576	1	1
3524	1d61dbef9f7a9717bb2cb7251a8477f81c58459792cb31a123dfd15b317327f4	315288	1	1
3838	99231c7e87e442cff4956f1aee0ac47defd0492438d314316af1a96c650376e7	186912	1	1
3362	f870549f971c3bcb0266c54168876e3b941e296b68ef3968f60776e671e57a5e	185368	1	1
3593	d42220e4c0b5ee2edd6134684e754a90a249deb1d4327384f8fabb9d9b120c79	153528	1597	1597
3888	53235dbf919a2e4a96f4c9958342109c2a3db8faaf542c7f9f2d4dbd491e0a52	125984	2	10
3532	d42220e4c0b5ee2edd6134684e754a90a249deb1d4327384f8fabb9d9b120c79	113688	1184	1242
3604	d42220e4c0b5ee2edd6134684e754a90a249deb1d4327384f8fabb9d9b120c79	107568	2612	5765
3769	d42220e4c0b5ee2edd6134684e754a90a249deb1d4327384f8fabb9d9b120c79	102912	1	4
3770	d42220e4c0b5ee2edd6134684e754a90a249deb1d4327384f8fabb9d9b120c79	102912	1	4
3437	d42220e4c0b5ee2edd6134684e754a90a249deb1d4327384f8fabb9d9b120c79	99392	2190	5187
3467	35c9fc1afa0cb835d15a2ed0694b5d8770a0e152eb0cba4d4520c53bdeaed60d	83490	1265	1265
3768	d42220e4c0b5ee2edd6134684e754a90a249deb1d4327384f8fabb9d9b120c79	77824	4864	4864
4	e220fe1122bad46f986f3f0939ad9b5fc1c70517b4ace797aab6dfc17031bb2a	73728	1	1
3363	f870549f971c3bcb0266c54168876e3b941e296b68ef3968f60776e671e57a5e	73368	1363	1363
3364	f870549f971c3bcb0266c54168876e3b941e296b68ef3968f60776e671e57a5e	73368	1363	1363
3365	f870549f971c3bcb0266c54168876e3b941e296b68ef3968f60776e671e57a5e	73368	1363	1363
3528	d42220e4c0b5ee2edd6134684e754a90a249deb1d4327384f8fabb9d9b120c79	56016	1347	3015
3840	e6527c6c96efd30f776181ab2bfe350b313346e10cddc8f6393d4b138840be87	47024	3883	3883
3752	b6c55a3d7a517b2b5398e5113d88b8311dc7ad29bc217791c818cbc25f08b091	43148	488	488
3753	b6c55a3d7a517b2b5398e5113d88b8311dc7ad29bc217791c818cbc25f08b091	43148	488	488
3754	b6c55a3d7a517b2b5398e5113d88b8311dc7ad29bc217791c818cbc25f08b091	43148	488	488
3773	b6c55a3d7a517b2b5398e5113d88b8311dc7ad29bc217791c818cbc25f08b091	40464	1492	1492
3441	d42220e4c0b5ee2edd6134684e754a90a249deb1d4327384f8fabb9d9b120c79	39072	2097	2442
3774	b6c55a3d7a517b2b5398e5113d88b8311dc7ad29bc217791c818cbc25f08b091	33120	1686	1686
3783	d42220e4c0b5ee2edd6134684e754a90a249deb1d4327384f8fabb9d9b120c79	31728	1085	1780
3891	d42220e4c0b5ee2edd6134684e754a90a249deb1d4327384f8fabb9d9b120c79	28672	896	896
3541	1d61dbef9f7a9717bb2cb7251a8477f81c58459792cb31a123dfd15b317327f4	28620	1359	1359
3605	d42220e4c0b5ee2edd6134684e754a90a249deb1d4327384f8fabb9d9b120c79	23248	1319	1452
3389	51352243c3ef419b0629c113a9642e92acfb897c76cf3821219207148c5fdcd8	21672	1	1
3194	e6527c6c96efd30f776181ab2bfe350b313346e10cddc8f6393d4b138840be87	19681	1	1
3196	e6527c6c96efd30f776181ab2bfe350b313346e10cddc8f6393d4b138840be87	17293	1	1
3788	b6c55a3d7a517b2b5398e5113d88b8311dc7ad29bc217791c818cbc25f08b091	17280	36	36
3818	d42220e4c0b5ee2edd6134684e754a90a249deb1d4327384f8fabb9d9b120c79	16240	789	987
3465	e6527c6c96efd30f776181ab2bfe350b313346e10cddc8f6393d4b138840be87	15757	1265	1265
3877	31aff74db2a43b7a3971bfad1f70185af06b2345a2ad85703568a213207400bf	13924	31	31
3608	f4dffd87ec76a3bb0853c541bd1fc9d84f13eaa9b938a6b1f855cd24cdfc91ab	13636	1922	1922
3609	f4dffd87ec76a3bb0853c541bd1fc9d84f13eaa9b938a6b1f855cd24cdfc91ab	13636	1922	1922
3544	d42220e4c0b5ee2edd6134684e754a90a249deb1d4327384f8fabb9d9b120c79	12960	720	810
3535	d42220e4c0b5ee2edd6134684e754a90a249deb1d4327384f8fabb9d9b120c79	12576	1572	1762
3444	d42220e4c0b5ee2edd6134684e754a90a249deb1d4327384f8fabb9d9b120c79	12560	1570	1589
3600	d42220e4c0b5ee2edd6134684e754a90a249deb1d4327384f8fabb9d9b120c79	12320	1540	2859
3596	d42220e4c0b5ee2edd6134684e754a90a249deb1d4327384f8fabb9d9b120c79	12064	1508	1998
3545	d42220e4c0b5ee2edd6134684e754a90a249deb1d4327384f8fabb9d9b120c79	11136	58	58
3597	f4dffd87ec76a3bb0853c541bd1fc9d84f13eaa9b938a6b1f855cd24cdfc91ab	11068	2749	2749
3885	41ea9e5a1ce7cd740a10b2a74b449f6d8a1242496c66b807fe0c1d16c55f6f4b	10752	1	4
3660	5663a90e5ad0f920cc3ce3a753441f8ac3826da4d66c827db4510731cb58435e	8528	1	1
3782	d42220e4c0b5ee2edd6134684e754a90a249deb1d4327384f8fabb9d9b120c79	8352	1044	2129
