trace_id	ip_id	parent_trace_id
1	1	0
2	2	1
3	3	2
4	4	3
5	5	0
6	6	5
7	7	6
8	8	7
24	24	8
25	25	24
26	26	24
27	27	8
28	28	27
29	29	28
30	30	29
34	34	30
40	40	34
41	41	40
42	42	41
52	49	34
54	46	52
55	47	54
56	48	55
57	50	30
63	52	57
69	54	30
86	60	69
87	61	86
88	62	87
89	63	88
90	64	89
99	69	29
100	70	99
101	71	100
102	72	99
103	71	102
104	73	99
115	49	104
117	46	115
118	47	117
119	48	118
120	74	99
121	75	120
132	49	121
134	46	132
135	47	134
136	48	135
137	76	99
142	81	137
143	82	142
144	83	143
145	84	144
146	85	145
147	86	146
153	91	137
154	92	137
155	78	154
156	79	155
157	80	156
175	103	137
186	106	175
194	109	186
202	111	194
203	112	202
204	113	203
233	122	175
234	78	233
235	79	234
236	80	235
240	125	137
242	127	240
243	128	242
244	129	242
245	130	244
246	131	245
247	112	246
248	90	247
249	132	240
250	133	249
251	90	250
568	339	137
569	340	568
570	90	569
571	341	99
572	342	99
573	343	99
574	344	99
575	345	99
576	346	99
577	347	99
578	348	99
579	349	99
580	350	579
581	43	580
582	37	581
583	38	582
584	39	583
585	351	99
586	352	585
597	49	586
599	46	597
600	47	599
601	48	600
602	353	99
603	354	602
614	49	603
616	46	614
617	47	616
618	48	617
648	364	99
649	365	648
661	372	649
662	373	661
663	374	661
664	95	663
669	376	648
675	378	669
688	383	648
690	46	688
691	47	690
692	48	691
3189	622	648
3190	623	3189
3191	71	3190
3192	624	3189
3193	625	3189
3194	71	3193
3195	626	3189
3196	71	3195
3197	627	3189
3198	71	3197
3199	628	3189
3200	71	3199
3201	629	3189
3202	71	3201
3203	630	3189
3204	631	3203
3205	632	3203
3206	71	3205
3207	633	3189
3208	634	3207
3209	635	3207
3210	71	3209
3211	636	3207
3212	71	3211
3213	637	3207
3214	71	3213
3215	638	3207
3216	71	3215
3217	639	3207
3218	631	3217
3219	632	3217
3220	71	3219
3221	640	3207
3222	71	3221
3223	641	3207
3224	71	3223
3225	642	3207
3226	71	3225
3227	643	3207
3228	71	3227
3229	644	3207
3230	71	3229
3251	663	648
